YEAR,MOVIE,GENRE,MPAA RATING,DISTRIBUTOR,TOTAL FOR YEAR,TOTAL IN 2019 DOLLARS,TICKETS SOLD,,,
1995,Batman Forever,Drama,PG-13,Warner Bros.,184 million,387 million,42 million,,,
1996,Independence Day,Adventure,PG-13,20th Century Fox,306 million,624 million,69 million,,,
1997,Men in Black,Adventure,PG-13,Sony Pictures,250 million,500 million,54 million,,,
1998,Titanic,Adventure,PG-13,Paramount Pictures,443 million,865 million,94 million,,,
1999,Star Wars Ep. I: The Phantom Menace,Adventure,PG,20th Century Fox,430 million,776 million,84 million,,,
2000,How the Grinch Stole Christmas,Adventure,PG,Universal,253 million,430 million,47 million,,,
2001,Harry Potter and the Sorcerer?s Stone,Adventure,PG,Warner Bros.,300 million,486 million,53 million,,,
2002,Spider-Man,Adventure,PG-13,Sony Pictures,403 million,636 million,69 million,,,
2003,Finding Nemo,Adventure,G,Walt Disney,339 million,516 million,56 million,,,
2004,Shrek 2,Adventure,PG,Dreamworks SKG,441 million,650 million,71 million,,,
2005,Star Wars Ep. III: Revenge of the Sith,Action,PG-13,20th Century Fox,380 million,543 million,59 million,,,
2006,Pirates of the Caribbean: Dead Man?s Chest,Action,PG-13,Walt Disney,423 million,591 million,64 million,,,
2007,Spider-Man 3,Adventure,PG-13,Sony Pictures,336 million,448 million,48 million,,,
2008,The Dark Knight,Adventure,PG-13,Warner Bros.,531 million,677 million,73 million,,,
2009,Transformers: Revenge of the Fallen,Action,PG-13,Paramount Pictures,402 million,491 million,53 million,,,
2010,Toy Story 3,Action,G,Walt Disney,415 million,481 million,52 million,,,
2011,Harry Potter and the Deathly Hallows: Part II,Action,PG-13,Warner Bros.,381 million,440 million,48 million,,,
2012,The Avengers,Adventure,PG-13,Walt Disney,623 million,717 million,78 million,,,
2013,Iron Man 3,Adventure,PG-13,Walt Disney,408 million,460 million,50 million,,,
2014,Guardians of the Galaxy,Adventure,PG-13,Walt Disney,333 million,373 million,40 million,,,
2015,Star Wars Ep. VII: The Force Awakens,Action,PG-13,Walt Disney,742 million,806 million,88 million,,,
2016,Finding Dory,Action,PG,Walt Disney,486 million,514 million,56 million,,,
2017,Star Wars Ep. VIII: The Last Jedi,Action,PG-13,Walt Disney,517 million,528 million,57 million,,,
2018,Black Panther,Action,PG-13,Walt Disney,700 million,703 million,76 million,,,
2019,Avengers: Endgame,Action,PG-13,Walt Disney,858 million,858 million,93 million,,,
2020,Bad Boys For Life,Action,R,Sony Pictures,204 million,204 million,22 million,,,
2021,Shang-Chi and the Legend of the Ten Rings,Action,PG-13,Walt Disney,224 million,224 million,24 million,,,
